Id,Label,modularity_class
98343,,0
141493,,2
58736,,0
140703,,0
151401,,0
157118,,0
125430,,0
3635,,0
495,,2
116648,,2
1679,,0
123861,,0
89631,,0
113417,,2
145281,,0
10408,,0
3181,,0
40675,,2
95914,,2
155127,,3
124827,,2
16783,,0
122269,,2
87516,,3
106969,,0
10372,,0
66893,,0
75403,,3
143081,,0
44326,,6
95697,,0
48850,,2
59892,,0
159097,,0
63150,,0
90148,,0
78899,,0
30520,,2
54230,,0
90697,,0
36837,,2
30061,,3
54013,,0
157585,,0
62841,,6
105041,,2
1966,,2
80986,,3
87129,,2
151230,,2
17048,,2
65788,,2
64605,,2
91680,,1
84392,,0
141930,,0
79768,,6
83757,,2
109678,,0
37182,,2
134405,,3
103123,,3
66786,,6
144898,,2
24321,,6
87479,,2
17293,,2
50129,,2
50511,,1
8216,,13
108538,,6
105333,,2
134952,,2
60384,,2
150905,,2
113359,,2
53279,,3
73900,,0
9068,,0
133924,,3
49634,,2
54848,,1
147773,,2
42097,,2
73017,,3
79010,,0
18259,,2
111738,,6
55012,,2
5587,,6
138216,,0
131033,,3
41764,,2
129869,,6
96169,,3
155216,,0
131128,,3
34043,,3
52154,,0
34817,,0
64855,,2
135417,,2
359,,2
1956,,0
55541,,0
39517,,2
131812,,0
114046,,0
154601,,0
156488,,2
52906,,0
102843,,1
111532,,0
118951,,0
53087,,0
54642,,0
5240,,0
134332,,0
14671,,2
47687,,2
47048,,13
17255,,0
45772,,0
152100,,1
8872,,2
65630,,2
84308,,6
128440,,6
3493,,3
700,,2
135261,,3
17661,,2
132505,,2
105850,,0
78833,,0
58134,,0
80211,,0
91804,,0
60169,,6
102090,,2
122722,,2
77329,,2
167840,,2
37876,,6
2524,,3
149299,,0
27453,,0
9936,,1
112252,,3
38671,,3
26226,,0
59272,,2
33318,,3
11953,,0
7104,,3
61944,,2
136819,,2
117234,,2
36296,,2
97963,,2
69910,,0
140674,,0
99543,,3
26552,,6
80790,,2
81288,,3
51130,,0
10261,,2
38029,,2
37801,,0
149952,,2
48309,,2
64696,,2
70202,,0
119034,,2
20601,,0
74593,,0
68690,,2
120323,,2
106755,,0
49602,,2
29746,,0
28726,,2
11751,,0
30196,,2
86174,,6
2903,,0
69855,,0
110498,,2
69236,,2
65778,,2
155464,,2
16166,,0
54774,,2
12882,,2
51721,,2
16379,,1
88215,,2
84599,,2
31547,,2
128199,,0
43541,,2
105143,,2
17691,,2
144193,,1
133636,,3
35713,,3
150604,,6
31163,,2
30361,,2
22366,,2
145708,,1
82640,,0
2085,,3
76140,,3
62585,,0
100272,,0
47345,,6
78557,,2
63538,,0
61562,,0
38012,,2
151216,,2
80205,,0
60360,,2
27294,,2
81163,,1
119611,,0
80239,,13
8730,,0
44855,,3
52199,,2
68518,,3
33520,,0
61584,,2
71260,,3
46074,,2
72301,,0
5536,,0
132646,,2
108077,,0
131023,,0
31988,,13
100109,,16
115024,,2
69605,,0
23481,,0
73245,,2
134666,,2
48554,,6
16475,,3
52703,,0
57603,,0
114099,,0
31120,,2
81147,,2
65805,,6
118233,,2
52547,,2
113066,,0
63416,,13
115864,,3
89781,,3
89324,,0
41667,,2
115865,,0
75711,,0
103568,,2
87147,,0
29633,,0
27765,,2
81028,,2
98236,,3
91424,,6
82834,,1
155787,,0
164941,,3
96696,,0
74091,,2
81714,,6
124065,,0
46035,,2
61421,,3
121294,,2
156265,,17
76441,,2
101423,,0
110198,,6
21879,,0
49371,,0
86567,,0
125348,,2
12508,,0
127055,,6
142328,,0
133775,,0
67225,,3
73899,,0
86751,,3
51733,,6
87545,,2
62849,,0
53021,,2
17801,,2
166734,,1
26148,,1
96638,,6
152066,,2
36293,,0
90205,,2
35655,,2
58379,,0
154805,,2
62727,,2
97291,,0
28073,,2
67856,,2
100124,,1
2719,,3
146151,,2
96309,,3
127721,,6
129564,,2
152481,,3
104201,,2
2755,,3
23053,,2
144342,,3
33631,,2
15881,,2
4649,,0
20811,,2
