Id,Label,modularity_class
98343,,2
141493,,2
58736,,2
140703,,2
151401,,2
157118,,9
125430,,2
3635,,2
495,,2
116648,,2
1679,,2
123861,,2
89631,,2
113417,,2
145281,,2
10408,,2
3181,,2
40675,,2
95914,,2
155127,,2
124827,,2
16783,,2
122269,,2
87516,,9
106969,,2
10372,,2
66893,,9
75403,,9
143081,,2
44326,,2
95697,,2
48850,,2
59892,,2
159097,,2
63150,,2
90148,,9
78899,,2
30520,,2
54230,,9
90697,,2
36837,,2
30061,,2
54013,,9
157585,,2
62841,,2
105041,,2
1966,,2
80986,,9
87129,,2
151230,,2
17048,,2
65788,,2
64605,,2
91680,,2
84392,,2
141930,,2
79768,,2
83757,,2
109678,,2
37182,,2
134405,,9
103123,,9
66786,,2
144898,,2
24321,,2
87479,,2
17293,,2
50129,,2
50511,,2
8216,,0
108538,,2
105333,,2
134952,,2
60384,,2
150905,,2
113359,,2
53279,,2
73900,,2
9068,,2
133924,,9
49634,,2
54848,,2
147773,,2
42097,,2
73017,,9
79010,,2
18259,,2
111738,,2
55012,,2
5587,,2
138216,,2
131033,,9
41764,,2
129869,,2
96169,,9
155216,,2
131128,,9
34043,,9
52154,,2
34817,,2
64855,,2
135417,,2
359,,2
1956,,2
55541,,2
39517,,2
131812,,2
114046,,2
154601,,2
156488,,2
52906,,2
102843,,2
111532,,2
118951,,2
53087,,2
54642,,2
5240,,2
134332,,2
14671,,2
47687,,2
47048,,0
17255,,2
45772,,2
152100,,2
8872,,2
65630,,2
84308,,2
128440,,2
3493,,9
700,,2
135261,,9
17661,,2
132505,,2
105850,,2
78833,,2
58134,,2
80211,,2
91804,,2
60169,,2
102090,,2
122722,,2
77329,,2
167840,,2
37876,,2
2524,,9
149299,,2
27453,,2
9936,,2
112252,,9
38671,,9
26226,,2
59272,,2
33318,,9
11953,,2
7104,,9
61944,,2
136819,,2
117234,,2
36296,,2
97963,,2
69910,,2
140674,,2
99543,,9
26552,,2
80790,,2
81288,,9
51130,,2
10261,,2
38029,,2
37801,,2
149952,,2
48309,,2
64696,,2
70202,,2
119034,,2
20601,,2
74593,,2
68690,,2
120323,,2
106755,,2
49602,,2
29746,,2
28726,,2
11751,,2
30196,,2
86174,,2
2903,,2
69855,,2
110498,,2
69236,,2
65778,,2
155464,,2
16166,,2
54774,,2
12882,,2
51721,,2
16379,,2
88215,,2
84599,,2
31547,,2
128199,,2
43541,,2
105143,,2
17691,,2
144193,,2
133636,,9
35713,,2
150604,,2
31163,,2
30361,,2
22366,,2
145708,,2
82640,,2
2085,,2
76140,,9
62585,,2
100272,,2
47345,,2
78557,,2
63538,,2
61562,,2
38012,,2
151216,,2
80205,,2
60360,,2
27294,,2
81163,,2
119611,,2
80239,,0
8730,,2
44855,,9
52199,,2
68518,,9
33520,,2
61584,,2
71260,,9
46074,,2
72301,,2
5536,,2
132646,,2
108077,,2
131023,,2
31988,,0
100109,,4
115024,,2
69605,,2
23481,,2
73245,,2
134666,,2
48554,,2
16475,,9
52703,,2
57603,,2
114099,,2
31120,,2
81147,,2
65805,,2
118233,,2
52547,,2
113066,,2
63416,,0
115864,,9
89781,,9
89324,,2
41667,,2
115865,,2
75711,,2
103568,,2
87147,,2
29633,,2
27765,,2
81028,,2
98236,,9
91424,,2
82834,,2
